Strategy,Clean (%),FGSM eps=0.01 (%),FGSM eps=0.03 (%),FGSM eps=0.10 (%),BIM  eps=0.01 (%),BIM  eps=0.03 (%),BIM  eps=0.10 (%)
Baseline,66.11,27.29,14.58,11.16,22.05,6.72,1.22
AT-FGSM,67.07,50.78,32.85,14.44,49.48,26.29,4.07
AT-BIM,66.79,52.14,35.03,14.10,51.11,29.83,5.02
AFT-FGSM,67.31,47.02,29.53,15.17,43.74,17.78,0.93
AFT-BIM,67.09,49.44,30.40,9.92,48.19,23.63,1.60
