Strategy,FLOPs (GMac),Parameters (M)
Baseline,0.0843,4.2898
AT-FGSM,0.0843,4.2898
AT-BIM,0.0843,4.2898
AFT-FGSM,0.0843,4.2898
AFT-BIM,0.0843,4.2898
