Strategy,FLOPs (GMac),Parameters (M)
Baseline,0.8676,71.6577
AT-FGSM,0.8676,71.6577
AT-BIM,0.8676,71.6577
AFT-FGSM,0.8676,71.6577
AFT-BIM,0.8676,71.6577
