Strategy,Clean (%),FGSM eps=0.01 (%),FGSM eps=0.03 (%),FGSM eps=0.10 (%),BIM  eps=0.01 (%),BIM  eps=0.03 (%),BIM  eps=0.10 (%)
Baseline,69.65,35.73,14.35,4.61,32.59,9.33,0.24
AT-FGSM,68.44,54.54,34.50,11.29,53.70,28.90,4.33
AT-BIM,67.81,54.81,35.83,9.72,54.00,31.15,4.03
AFT-FGSM,67.11,48.32,26.81,7.50,46.36,19.40,0.89
AFT-BIM,67.31,46.60,24.87,5.91,44.63,18.97,0.92
