Strategy,Clean (%),FGSM Drop eps=0.01 (pp),FGSM Drop eps=0.03 (pp),FGSM Drop eps=0.10 (pp),BIM  Drop eps=0.01 (pp),BIM  Drop eps=0.03 (pp),BIM  Drop eps=0.10 (pp)
Baseline,69.65,33.92,55.31,65.05,37.06,60.33,69.42
AT-FGSM,68.44,13.90,33.94,57.15,14.73,39.54,64.10
AT-BIM,67.81,13.01,31.98,58.09,13.82,36.66,63.79
AFT-FGSM,67.11,18.79,40.30,59.62,20.75,47.72,66.23
AFT-BIM,67.31,20.72,42.45,61.40,22.69,48.35,66.39
