Strategy,Clean (%),FGSM Drop eps=0.01 (pp),FGSM Drop eps=0.03 (pp),FGSM Drop eps=0.10 (pp),BIM  Drop eps=0.01 (pp),BIM  Drop eps=0.03 (pp),BIM  Drop eps=0.10 (pp)
Baseline,75.10,49.33,63.73,66.97,57.18,72.56,75.09
AT-FGSM,68.39,16.13,33.63,53.43,17.35,40.03,64.47
AT-BIM,68.17,13.89,32.24,53.14,14.71,37.38,63.79
AFT-FGSM,71.24,21.66,39.56,56.02,25.16,52.29,70.43
AFT-BIM,68.61,15.56,34.47,55.56,17.02,42.51,66.21
